url	kind	size	rel_path	doc_url	status
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250102622651031047.pdf	file	46577259	zwgk/gsgg/202501/96463_平潭综合实验区自然资源与生态环境局锦鸡重工总装基地项目建设工程规划许可证变更公示/attachments/file/W020250102622651031047.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250102_96463.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250103567243772347.png	img	486588	zwgk/gsgg/202501/96487_平潭综合实验区关于35kV平原变10kV大练海缆线路更换改造工程用海审批前公示/attachments/img/W020250103567243772347.png	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250103_96487.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250107626286536125.xlsx	file	10319	zwgk/gsgg/202501/96557_平潭综合实验区君山片区管理局关于变更2024年度部分财政衔接推进乡村振兴补助资金/attachments/file/W020250107626286536125.xlsx	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250107_96557.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250108564197851522.xls	file	29696	zwgk/gsgg/202501/96575_公示/attachments/file/W020250108564197851522.xls	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250108_96575.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250108597659820880.jpg	img	382076	zwgk/gsgg/202501/96581_平潭竹屿湖五星级酒店建设工程规划许可证批后公布/attachments/img/W020250108597659820880.jpg	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250108_96581.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250108597659834769.jpg	img	298085	zwgk/gsgg/202501/96581_平潭竹屿湖五星级酒店建设工程规划许可证批后公布/attachments/img/W020250108597659834769.jpg	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250108_96581.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250109613884320696.jpg	img	172658	zwgk/gsgg/202501/96603_平潭综合实验区自然资源与生态环境局关于《平潭综合实验区351001-01-C-8/attachments/img/W020250109613884320696.jpg	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250109_96603.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250109613884322895.jpg	img	145794	zwgk/gsgg/202501/96603_平潭综合实验区自然资源与生态环境局关于《平潭综合实验区351001-01-C-8/attachments/img/W020250109613884322895.jpg	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250109_96603.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250109613884325469.jpg	img	1813330	zwgk/gsgg/202501/96603_平潭综合实验区自然资源与生态环境局关于《平潭综合实验区351001-01-C-8/attachments/img/W020250109613884325469.jpg	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250109_96603.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250110314996204933.pdf	file	2340580	zwgk/gsgg/202501/96585_平潭综合实验区管委会安全生产委员会办公室关于2024年度生产安全事故情况的通报/attachments/file/W020250110314996204933.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250109_96585.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250110393088227084.doc	file	264192	zwgk/gsgg/202501/96572_平潭综合实验区市场监督管理局 2024年医疗机构抽查结果公示/attachments/file/W020250110393088227084.doc	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250108_96572.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250110533691206066.doc	file	27136	zwgk/gsgg/202501/96622_关于征集工程建设项目前期咨询专家库候选专家公告/attachments/file/W020250110533691206066.doc	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250110_96622.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250113621921310650.pdf	file	3047607	zwgk/gsgg/202501/96665_中福海峡建材城竣工规划条件核实公示/attachments/file/W020250113621921310650.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250113_96665.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250114354697786445.jpg	img	552396	zwgk/gsgg/202501/96672_对福建恒兴业建设有限公司《行政处罚决定书》（岚执法应急专罚决〔2023〕185号/attachments/img/W020250114354697786445.jpg	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250114_96672.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250114354697793257.jpg	img	450145	zwgk/gsgg/202501/96672_对福建恒兴业建设有限公司《行政处罚决定书》（岚执法应急专罚决〔2023〕185号/attachments/img/W020250114354697793257.jpg	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250114_96672.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250114354697801395.jpg	img	502097	zwgk/gsgg/202501/96672_对福建恒兴业建设有限公司《行政处罚决定书》（岚执法应急专罚决〔2023〕185号/attachments/img/W020250114354697801395.jpg	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250114_96672.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250116377843179720.pdf	file	1425827	zwgk/gsgg/202501/96723_君山镇山边村海防路基础设施项目/attachments/file/W020250116377843179720.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250116_96723.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250116377843196104.docx	file	15831	zwgk/gsgg/202501/96723_君山镇山边村海防路基础设施项目/attachments/file/W020250116377843196104.docx	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250116_96723.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250116377843202692.docx	file	1751921	zwgk/gsgg/202501/96723_君山镇山边村海防路基础设施项目/attachments/file/W020250116377843202692.docx	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250116_96723.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250116377843224591.pdf	file	2675068	zwgk/gsgg/202501/96723_君山镇山边村海防路基础设施项目/attachments/file/W020250116377843224591.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250116_96723.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250116429684659614.doc	file	19968	zwgk/gsgg/202501/96725_公示/attachments/file/W020250116429684659614.doc	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250116_96725.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250116599702299607.jpeg	img	475252	zwgk/gsgg/202501/96732_福建纳百川建筑工程有限公司《行政处罚决定履行催告书》送达公告/attachments/img/W020250116599702299607.jpeg	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250116_96732.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250120429130346061.pdf	file	11970764	zwgk/gsgg/202501/96735_平潭综合实验区自然资源与生态环境局关于金顺新光明城（一期、二期）及整体项目 竣工/attachments/file/W020250120429130346061.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250117_96735.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250120555667294555.jpg	img	284253	zwgk/gsgg/202501/96796_周裕藩纪念馆建设项目 乡村建设规划许可证批后公布/attachments/img/W020250120555667294555.jpg	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250120_96796.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250120555667297104.jpg	img	136808	zwgk/gsgg/202501/96796_周裕藩纪念馆建设项目 乡村建设规划许可证批后公布/attachments/img/W020250120555667297104.jpg	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250120_96796.htm	done
